min,max,avg
15076700,18139200,16784709
14981100,19220100,16836214
15123300,18898700,16835586
15106900,25573700,16841612
24291800,28402800,25166232
14275900,19549700,16815870
14701500,18944800,16838298
14887100,27455600,16841358
15355500,18941500,16837170
24903300,30295700,26519718
14465300,18656700,16812207
15137200,18650400,16835089
15113200,18451400,16833117
14796400,18575200,16802345
15793800,17720900,16739313
15582900,18114500,16802569
15375900,18459200,16812859
15276200,18082000,16832032
15483100,18788200,16899490
12680300,26533000,16869996
15665900,18822200,16815600
15569800,18674100,16836436
15606100,18371800,16837466
15515500,20676900,16783201
45947900,57046300,53298217
15723900,18177900,16781928
14758200,19248800,16834768
15428200,21801200,16836862
15490600,25735300,16843790
11676300,25080200,16742135
14892400,21130600,16809100
15521500,18406000,16835453
15595400,18129500,16835861
15441100,18287300,16834140
15641700,17985900,16745466
15536400,22632000,16813628
15610900,18384700,16833835
15291800,18238100,16836518
15437700,18123400,16835035
14262900,20825300,16745735
15423200,26595600,16798399
15401700,20450000,16830677
14986600,18500000,16833785
15630300,18019700,16829355
13866100,20881100,16749885
15252600,25526800,16781066
15295600,18416300,16775936
15273600,18358400,16774675
14865500,18536900,16773469
12944900,23969300,17061885
