min,max,avg
2830200,4057000,3383254
2857500,3884400,3383820
3067200,3969900,3384488
3117600,3698600,3379896
24051800,40171100,26066851
2918700,4117500,3384036
3069100,4115500,3384325
3197400,3755000,3382338
3202600,3729300,3381488
24347100,40087300,26341035
3088900,4145500,3380487
3061700,4147200,3377454
3121700,3786900,3378615
3060500,4094100,3386927
15680000,33320900,18519878
2727400,4579000,3382605
3013600,3844700,3378737
3041700,3862200,3382265
7163600,26871300,9412665
95373100,135246400,109458383
2852000,6901800,3473982
2781500,5384000,3458251
2935900,12252200,4223614
64353900,79871900,73123648
616179700,1155138600,744788692
2860400,678897000,3500578
3074600,4299300,3383329
2970200,3986400,3380099
3041100,4064200,3384518
9555000,15639200,11717700
3168800,3940700,3384361
3101000,3821800,3380482
3030000,3985600,3380734
2982600,12459800,3725068
10076000,28366400,13645408
4430800,14594000,6190237
4277300,13750900,5843982
3599600,27580700,5604415
4607200,10281000,6495550
14817200,38198500,17278941
23815100,41878300,29080210
24818200,47861300,29883799
25272500,47924800,28364539
23694700,34851500,29037358
31826800,85857700,48448217
146251800,153100600,149087256
146561600,152098300,149081423
146653500,151595100,149088785
133013700,185717400,157046281
152730700,234162600,191420154
