min,max,avg
3287997,8796158,3373067
3333084,26431114,5243979
3332099,23061934,4363415
3324438,23149644,3455739
30340788,33288951,31780729
3332078,13693306,3358283
3313333,9370959,3347875
3330565,19075921,3361159
3323234,11451969,3707784
35771213,41405427,38256046
3327074,10009090,3346833
3327579,8034144,3344328
3333098,8067055,3349996
3333725,24628260,11730020
92677251,107762085,102203792
3327212,3968465,3342666
3330615,3674179,3341939
3333100,68111992,7251852
3343145,107695260,53858904
485244422,533272087,501556409
3331576,8121556,3608325
3333559,21006510,3956291
3334096,249977271,22660586
5641961,496550704,329685324
2524194139,2764122793,2644158466
3345248,2635715451,20829352
3335971,71642028,11637829
3332893,72881841,11797511
3335577,106989296,14839907
51603958,61246644,55578368
3332115,114563296,17520899
3336370,124301347,17643758
3332776,131721402,17621772
3341375,148532091,20697213
58779167,64772169,61825547
3333544,169925432,27310748
3337141,185512946,26568009
3332972,195312769,27187179
3334586,216161704,30997244
69989757,77686053,72407937
102386346,112847114,105926733
3333719,736755256,104808331
3334465,738216804,105064811
106114006,112571186,109008949
131331199,166271481,153806725
541473188,584408484,562179111
5710517,553623791,491608543
540047428,552371963,545354036
540315346,556301423,547355232
574965483,3870392646,1406724696
