min,max,avg
3263842,173757221,5151202
3331132,28691371,4617772
3320074,28201943,4528817
3345607,23987373,6148686
36328851,41239666,37778013
3329808,26148096,4427474
3261907,33150136,4589813
3332605,36236692,4925365
3335640,17775494,8892490
48054301,54021684,51377050
3315578,103136969,4859136
3315745,36090098,4799545
3324672,41569675,5713888
3334498,72181618,24715430
162718954,181968487,171229162
3291197,28462448,4643959
3290581,40640147,4993837
3333674,149125291,16134682
3376975,204307432,101455286
914021192,946078277,927867595
4101944,14949969,6183144
4196995,60168267,7304604
3653206,262322874,35462123
5431984,906532474,502803143
5187027342,5187027342,5187027342
17207981,4888322357,144025979
3338630,151092068,25795959
3332929,184200970,26141126
3410882,192161396,32478550
91703967,104991186,98308418
34791059,41274174,37329845
3334779,263272489,38063993
3336553,267582339,38337880
3439507,313398910,44997298
115704773,124205598,119438130
56002344,63432704,58830056
3338656,403349199,57425500
3336380,416798332,59581336
3336123,467074409,66457429
133883917,140430480,137068285
222070914,231954178,226203679
5586667,228486063,208485028
3335328,1522397957,222572057
225887060,240899200,235200637
300420645,1662848282,409966011
1095915171,1406756451,1180435515
1097495542,1174950525,1122867116
15566945,1183338054,958819136
1100678294,1120196345,1112767212
5000000000,5000000000,5000000000
