min,max,avg
3299855,4281716,3340175
3326461,18485214,3341877
3314865,6974013,3342483
3311372,5661287,3341086
27923914,30242452,28871856
3324504,3526765,3339434
3331245,3571977,3339461
3325220,3518514,3339165
3320825,3738010,3340155
26969818,31035266,29300444
3328383,3508895,3339052
3329111,3599384,3339119
3318465,3493952,3338918
3331221,9646186,4328735
41428798,51364209,44001698
3323774,19781839,3342112
3326979,3529276,3339059
3325029,16402694,3341624
3333868,43537227,20224231
141631192,194870241,168685896
3317847,18722831,3346362
3294776,4781397,3341460
3319278,96204342,7566545
3338776,881493711,103195733
842423205,970035775,926709435
3323274,3553215,3339151
3330250,3570776,3339252
3321140,7068186,3339883
3319238,12773601,3364470
28132475,32809466,30587021
3313215,3713811,3343680
3316990,3711165,3344205
3313457,4221475,3350665
3318475,30733323,4165416
30612298,33602087,31722892
3329421,40649356,6224565
3332414,45537353,6276837
3322783,46185179,6337338
3332822,53813527,7443536
33692200,37284742,34938521
3333223,158883236,25913903
3333128,211493731,26035824
3330796,186153963,26221935
3333068,220423153,27238747
52854848,55907578,54264650
3335894,839182479,136688112
3333368,1097718186,136786631
3333932,962766414,136810462
3333994,1107236172,138125187
19019864,293320473,164812311
