min,max,avg
3329693,3481272,3338689
3333088,3470774,3338821
3333212,3516000,3339313
3333039,3536394,3339865
27980798,31229070,28885491
3333036,3478658,3338818
3332953,3503087,3338938
3333031,15994657,3347177
3329729,3546194,3339726
28103019,30766655,29030203
3332990,3503065,3338892
3331343,3495464,3338876
3327751,3500979,3339184
3332671,9619433,4448216
38208549,42788694,39864948
3326895,3525393,3339426
3332879,3503644,3338692
3320779,34575374,3668459
3335573,41025407,19980625
161847059,185331393,167563629
3333077,8152417,3346425
3332616,18192658,3350829
3333326,89988613,10080310
3337737,906165687,150396248
890817716,951229854,922513854
3333035,3505299,3338789
3302380,3521395,3338830
3327009,3530635,3339157
3332213,19647248,3355215
29385790,32769968,31209136
3310535,3761123,3346977
3324755,3713403,3344249
3314494,4510674,3355230
3328477,30717157,4236544
31021567,34469325,32386033
3333053,41380361,6397421
3332513,45334438,6293035
3317432,47545114,6394266
3333384,55772477,7829773
35226333,36785716,35889495
3334378,158429283,25909096
3334403,210786547,26062870
3333755,185809573,26093950
3333674,220049447,27300433
53476073,57485979,55543842
134610344,146650561,140313435
3342019,964653770,136586136
3334954,959417715,136883812
136137050,139805978,137802369
161339642,167969517,164788431
