min,max,avg
3321966,18236150,3349434
3332014,3482421,3339263
3332251,3477518,3339348
3328159,3540634,3340513
28944100,31135873,30186674
3325961,3476984,3339149
3332487,3480636,3338906
3333107,15789015,3347455
3325339,5600015,3342157
29355774,32737322,30601952
3323400,3556756,3339624
3332185,3466787,3339303
3332995,3864779,3339669
3334508,16098268,7544673
58760868,64481887,61747634
3332861,3508667,3339801
3330048,3476046,3339000
3332669,60452973,4991416
3339072,108756809,34843537
289978454,324126455,302249852
3320772,4574154,3353009
3331944,18932621,3358095
3333943,153459818,19159055
192899290,494330731,265733548
1428278618,1761782412,1625700236
3337372,1605056537,7382592
3329857,33373860,5397371
3332087,34195676,5483915
3332747,48846524,7115088
34697318,42532737,38951106
3335026,54399395,8740553
3333011,61461957,8813067
3332511,65788546,8963267
3332468,72710702,10459909
40473478,44320829,42271951
3335864,99383290,15300907
3333745,102771558,14414312
3332921,107249548,15150413
3333291,117201851,16773683
46646548,50619756,48521766
3336058,359589340,60184270
3334039,408074229,58521999
3327238,412865736,58609531
3333680,482529128,60545030
92504335,97138623,94933017
302894381,328473252,316453289
4091427,311231856,288704832
302938459,310792497,306706448
304730946,313724692,308775500
331589227,2171214784,491389010
