min,max,avg
15353600,18439200,16784185
15345300,18618300,16793494
14748600,22333500,16859740
15111500,18474100,16834639
24183600,28425200,25434978
15526500,17962400,16779112
15250300,18125600,16784844
15463600,17978400,16780609
15364900,18074000,16789416
25339200,32221800,27407459
15189500,19700900,16790973
15475700,18222300,16809691
15409400,18098500,16833684
15667200,18151800,16833779
25701200,31375200,27589855
15577900,18296500,16789262
15179300,18379200,16793648
14654200,18892800,16792309
14634200,18857800,16781028
14343300,21474600,16843801
15438200,18500400,16794187
15933700,17950500,16825024
15848900,18145100,16869757
15056400,18485000,16808286
50029000,55378500,52408745
15594400,17764800,16780171
15825000,18684100,16778928
16024900,17530400,16778173
13952800,20261100,16796002
15879000,22872700,16783321
15327000,18395500,16927229
15602400,18703200,16944537
15244900,24923800,16954691
15183500,18064700,16854817
16252400,17226300,16744550
15165300,18559300,16932980
15190500,18437700,16930893
14899000,18870000,16915526
14750600,18532100,16925086
15891300,17505400,16765298
14943300,21218300,16903433
15131400,18506200,16908579
15656400,20918200,16956873
15301600,19208500,16970950
15815800,17703100,16768809
15173900,18496800,16867013
15401300,19358600,16911172
15571700,18513200,16887249
15192800,18521300,16867998
15815800,20242500,16808464
