min,max,avg
3143200,3877000,3376688
2927600,3815200,3376916
3132100,3714800,3375695
3006100,3952900,3374886
23903000,27597800,24718513
3084100,3720300,3377127
3026100,4041200,3376486
3204700,3726300,3376353
2990300,3961000,3381184
24009200,26123000,24769085
3071300,4107300,3379649
3152400,4693100,3377545
3036100,3934400,3377707
3054600,3841300,3387144
16123500,27627800,17436919
3175000,3855000,3378590
3056200,3938300,3377986
3199200,3715200,3379772
6898700,14066800,8519186
74100100,91005600,81534386
2920500,4402700,3457858
2894800,4506600,3435187
3051200,11003300,3867903
62458900,124722900,78240385
542483000,626452200,570488055
2982800,613314200,3811125
3130100,4003300,3382071
3048700,4037900,3379338
3144800,3691300,3380163
10275600,15031000,11027796
3139800,3960400,3380441
3029200,3922000,3377306
3117200,3779500,3377982
3056400,16806900,3397332
9682000,29026800,11000392
4131700,10801800,5078484
4061300,9377200,5083934
4178300,14769400,5118974
4653000,12834700,5961069
13864600,30930400,21950778
25290200,40446400,26529178
25762500,30714100,26506685
25686900,27901900,26489183
26749700,31399000,28907089
38533800,42771200,40105607
146530500,149357600,148197551
147218700,149704600,148325232
147452000,149941800,148558388
154024700,158039100,156865046
191012200,199155100,195994030
