min,max,avg
3330838,3557307,3340406
3327590,10093906,3347152
3333224,3511812,3338761
3328356,17166999,3348343
27627486,29593346,28804280
3332727,3524337,3338862
3329737,3518132,3338935
3333250,3529238,3339331
3333234,3509262,3339158
27149828,29755132,28173296
3331054,10750395,3343939
3322962,3512857,3338756
3333165,3529463,3338947
3333250,3470772,3338816
27332037,29240363,28578055
3333089,3524062,3338730
3327871,3538242,3338906
3332881,3530210,3339207
3334646,18233009,8839647
67513731,76451955,69727328
3330810,3795159,3340737
3319049,3501100,3339890
3328195,31390731,3655318
3339782,395000108,53654306
351068169,383643942,363969067
3332888,3503614,3338461
3332852,3491040,3338437
3333061,3495636,3338716
3331673,3541367,3338891
26804899,27987811,27337544
3326793,3500886,3338540
3333217,3487489,3338557
3333219,3554747,3338477
3325774,3578457,3339408
26929069,28162169,27533750
3333124,3491087,3338815
3327511,3492842,3338874
3330288,3509767,3339402
3332492,3581355,3341510
27446613,28928628,28185466
3333824,43290195,6950800
3332812,56731122,6981650
3327817,44300094,6986754
3333065,58550874,8116078
32533899,35436686,34395096
3342634,212488179,35135395
3333841,281495918,35055243
3333479,250820299,35168457
3528057,294428310,36264191
59439590,64817274,61236618
