min,max,avg
15246000,18357400,16776216
14945500,18627800,16786768
15081800,19878200,16844621
14942900,18291200,16834836
24059800,26233800,24918495
15325100,17832700,16780279
15193700,17826200,16778148
15632300,18739100,16773559
15476600,18522300,16776775
24256400,27828000,25193787
15890700,17588800,16772717
15556000,18251600,16790622
15041200,21712700,16847550
15658000,19199500,16890994
24783700,27250900,25443485
15692700,17864100,16778084
15616100,18721500,16778781
15159000,17944000,16784762
15097500,20358400,16793133
25630200,45666300,26948024
15215400,18525100,16918088
15564600,18188800,16948625
14549900,19242800,16979953
12676000,28126700,19535029
133065000,140103100,136640829
15054600,18827300,16931775
15041400,18649100,16941936
15403700,18865700,16914478
15371800,18469400,16889548
16344800,17116600,16741034
15562700,18454500,16768745
15459800,19496600,16812508
15480200,24019600,16888743
14939100,19661700,16989348
15667700,18200200,16776757
15267800,18705900,16942029
15294900,18419700,16945278
15202200,18721100,16931935
15230300,18366800,16952767
15425100,18077600,16773773
15041900,18572800,16927416
15119900,18554600,16940493
15192700,18587700,16940327
15274300,18784000,16936922
15826100,18768500,16819142
9637200,43879900,22554837
21772400,25964400,22636449
23563800,33047000,25078946
26646600,32363900,27866678
35112900,43318400,37850440
