min,max,avg
595400,5013000,3358210
3064700,3861600,3377474
2973000,4115700,3377524
2965200,3797100,3378208
23791300,71895800,25573094
2977600,4207800,3375641
2975600,3926700,3376580
3146800,4034600,3376915
2804900,4424300,3383370
10088100,21657100,13453054
2916000,3967700,3380279
3146300,3904400,3380830
3161300,3824800,3378145
3608900,13219100,6030233
38864900,79645800,50167892
2877200,4158500,3380263
2944000,4233000,3379061
3005600,6786000,3444999
23278000,35662800,30599946
206406200,360608300,272118283
2876600,12479600,3446651
2793800,5784800,3435745
4112500,21061200,10584692
120200200,337770200,173951223
1205190100,2620199200,2261361388
2802400,2354876400,4496617
2694900,7148600,3458280
3008600,6384200,3455010
3078100,9070000,5276762
32690800,53996600,36034096
6038600,9967600,7869714
2935000,9236700,3636544
2885200,6580800,3531135
4031000,56773200,9022631
38751100,46482900,40458326
11291900,30938700,20606614
10833200,16172400,12880224
9383100,28012600,13065403
11859000,26723200,16694293
26006100,61294200,39093709
51253100,120744900,70379345
52540900,78939300,65979258
73905800,78839600,76939365
55869200,109452500,75234795
80597000,89133300,85300941
322007800,616813600,365656510
328340500,607761500,359130463
327905200,339033500,332320873
295239200,459863100,332410000
315962800,427669300,364812065
