min,max,avg
3216700,4345200,3383912
2823900,3911600,3377561
2885300,4024600,3378505
3121100,3944800,3377531
24322300,27780400,24972622
3132200,3909800,3377037
3193800,3782800,3374458
3181800,3725100,3376197
3017400,4006300,3380945
24369600,27650200,25125892
3122900,3823000,3377140
3132500,3932000,3379045
3141600,3969200,3377981
3013600,8927500,3401134
28857000,37316200,31398441
3086000,3960900,3381654
3120800,3909600,3378917
3023800,4159400,3395017
17804300,23982300,20145525
186331300,216590400,202892720
3002900,4504300,3426496
2987300,4480900,3418916
5437000,13930000,8428636
129166900,291964900,180753632
1117940200,2387138100,1886061100
2915000,2114980400,10779964
3173300,3728000,3378185
3073400,3985500,3378990
2912400,4006100,3398916
15673700,21754100,18095541
2973300,5903000,3610122
2967700,6723500,3617970
3006900,6905800,3699654
4227600,8499900,5398445
18916000,44839200,26401498
10108300,29378700,14926349
9708900,19888200,11971762
9846500,20359300,16730376
11339500,22130700,13208650
25828200,69527200,39197182
53266800,82543400,70159997
53949400,57126800,55641925
56032600,96764800,89770601
59982200,107033400,72070071
81806300,87677600,84626266
317653000,563413000,505311130
320927700,528564200,340218756
321730400,324059000,322760040
330753700,345918300,333312273
392899300,402710200,398776261
