min,max,avg
3326489,3512000,3339047
3322887,19093654,3341867
3332740,3539841,3339053
3323749,4514992,3340494
28849970,31921544,30034169
3328104,5980581,3339600
3322984,3497004,3338927
3325764,3519379,3339006
3323864,4100442,3342215
29604338,34577534,32016598
3322529,18730733,3342012
3332763,3694357,3339069
3328560,3497897,3338978
3333544,21317122,7265707
61100763,82757017,66846820
3327022,18578184,3342095
3327231,17926211,3341734
3286577,60719328,3464466
3334731,77661997,35533777
273280048,360836017,305541908
3322480,19926927,3352426
3323601,18396171,3345676
3333170,173187341,15389067
3335174,1503958545,183213401
1354790676,1752737186,1649003771
3332722,1629181157,5896772
3324160,34229645,5399890
3331048,35129548,5465185
3331510,48414580,7113093
36153207,42382096,38309352
3333934,55626581,8726483
3331571,62752864,8812042
3332298,65284710,8905270
3331801,71437630,10406545
38282311,44203403,41513629
3332779,95400790,14582849
3331963,103787206,14382560
3312519,104884553,14460624
3333171,113163631,16135411
44243200,52302439,47922137
3333529,358634412,58890553
3333117,472158172,58526103
3334132,416614001,58563941
3333918,482477653,60148536
88753463,96550666,91252467
302780506,312952660,307163400
3333810,2170428780,302363774
3336230,2165380665,306981533
3336393,2194237289,308778339
330744045,2166445192,371560983
