min,max,avg
3332500,35558200,16856505
3321600,34094200,16784693
15004200,18612400,16831311
15697200,21684700,16846511
24035000,28818800,25094900
15219000,18202600,16775509
15757400,18027300,16772135
15668600,18726800,16774898
15476700,18177200,16778863
24661900,28500300,25305336
15508800,18890300,16776123
15290900,23273300,16809518
15572300,24221200,16859048
15476600,19127200,16865961
24893600,29540100,26100432
15326700,18463400,16776215
15529900,18029200,16783794
15703800,17933000,16782112
15739800,23978500,16804270
45556700,69127800,47757831
14901400,18929600,16914848
14139000,19294600,16954217
15185700,18824800,16934962
28636100,54958500,36092567
249007700,269739400,257068125
15243700,18674000,16937446
15264300,18884300,16931476
15222600,18661100,16935157
15092800,18779800,16942408
14969700,18502000,16768873
15179200,18471300,16915538
15410000,25160900,17002952
15369500,18395700,16986747
14911100,19004100,16934722
15533800,18049500,16766719
14772600,18894300,16942225
14972200,18669400,16940254
14965800,18814000,16934922
15173100,22580200,16950506
15168100,18310800,16759537
15184400,18864300,17023204
15352700,22605300,17023719
15168900,27628500,17053166
14953400,26059900,17519702
18636300,24964800,21923571
59587700,71574400,65516385
66341200,68587000,67309927
69012000,79845900,71973705
69621000,77647800,71322355
83150100,86927900,84319388
