min,max,avg
14947200,19871700,16808208
14744900,18454200,16832254
15239400,18564600,16834209
14879400,18613500,16832347
24125300,29960000,24977159
14211900,19723200,16806533
14779600,18674100,16833018
15347400,18286300,16832017
14471900,19045900,16827102
11908600,30751300,23960339
15065800,18588200,16811169
14245500,18717400,16935758
14970600,18703800,16971461
15491900,23673800,16837310
16191900,23969000,16763922
15594800,18883500,16814391
15490000,18200400,16835459
15251500,20343100,16834906
15566000,18299500,16795583
15601800,37046900,27055000
15366600,18029000,16769960
15424500,21060100,16806368
14405400,18857100,16869139
15581400,33510200,16973511
138065300,187660400,161939251
15865800,17697800,16795259
15638700,22825600,16837768
15032900,30315400,16842187
15399600,18346100,16829852
15739300,26187200,16746451
15280900,23403000,16812362
15411400,18280100,16828632
15417500,18399300,16832849
15346700,18302000,16830235
16317100,17302500,16740160
15104800,23545000,16809607
15300100,23862300,16831366
15684100,18032800,16828352
15240600,18425000,16824683
16268500,17244100,16742701
15319900,18219900,16773033
15466000,18255600,16764664
15104300,18568900,16770889
14949700,23823500,16777295
16436400,25246700,16796964
22525000,39843800,28695912
31695200,40080300,32780371
31919600,61995500,35008257
33243400,44999700,38126455
39939300,72030800,46251410
